Date,median of the 100 ensemble member time series,,,
1897/06,-0.155,,,
1897/07,-0.157,,,
1897/08,-0.149,,,
1897/09,-0.135,,,
1897/10,-0.258,,,
1897/11,-0.453,,,
1897/12,-0.477,,,
1898/01,-0.085,,,
1898/02,-0.38,,,
1898/03,-0.749,,,
1898/04,-0.573,,,
1898/05,-0.474,,,
1898/06,-0.319,,,
1898/07,-0.377,,,
1898/08,-0.306,,,
1898/09,-0.332,,,
1898/10,-0.556,,,
1898/11,-0.449,,,
1898/12,-0.346,,,
1899/01,-0.208,,,
1899/02,-0.494,,,
1899/03,-0.544,,,
1899/04,-0.351,,,
1899/05,-0.316,,,
1899/06,-0.39,,,
1899/07,-0.275,,,
1899/08,-0.147,,,
1899/09,-0.136,,,
1899/10,-0.188,,,
1899/11,0.028,,,
1899/12,-0.45,,,
Jan-00,-0.266,,,
Feb-00,-0.172,,,
Mar-00,-0.285,,,
Apr-00,-0.261,,,
May-00,-0.273,,,
Jun-00,-0.18,,,
Jul-00,-0.19,,,
Aug-00,-0.185,,,
Sep-00,-0.23,,,
Oct-00,-0.058,,,
Nov-00,-0.263,,,
Dec-00,-0.075,,,
Jan-01,-0.176,,,
Feb-01,-0.272,,,
Mar-01,-0.236,,,
Apr-01,-0.187,,,
May-01,-0.196,,,
Jun-01,-0.146,,,
Jul-01,-0.188,,,
Aug-01,-0.196,,,
Sep-01,-0.343,,,
Oct-01,-0.298,,,
Nov-01,-0.442,,,
Dec-01,-0.428,,,
Jan-02,-0.232,,,
Feb-02,-0.26,,,
Mar-02,-0.398,,,
Apr-02,-0.451,,,
May-02,-0.401,,,
Jun-02,-0.424,,,
Jul-02,-0.391,,,
Aug-02,-0.368,,,
Sep-02,-0.361,,,
Oct-02,-0.477,,,
Nov-02,-0.538,,,
Dec-02,-0.526,,,
Jan-03,-0.269,,,
Feb-03,-0.181,,,
Mar-03,-0.358,,,
Apr-03,-0.473,,,
May-03,-0.463,,,
Jun-03,-0.537,,,
Jul-03,-0.485,,,
Aug-03,-0.587,,,
Sep-03,-0.518,,,
Oct-03,-0.653,,,
Nov-03,-0.634,,,
Dec-03,-0.604,,,
Jan-04,-0.644,,,
Feb-04,-0.59,,,
Mar-04,-0.661,,,
Apr-04,-0.553,,,
May-04,-0.527,,,
Jun-04,-0.522,,,
Jul-04,-0.522,,,
Aug-04,-0.477,,,
Sep-04,-0.478,,,
Oct-04,-0.473,,,
Nov-04,-0.387,,,
Dec-04,-0.407,,,
Jan-05,-0.46,,,
Feb-05,-0.703,,,
Mar-05,-0.462,,,
Apr-05,-0.555,,,
May-05,-0.344,,,
Jun-05,-0.314,,,
Jul-05,-0.297,,,
Aug-05,-0.301,,,
Sep-05,-0.313,,,
Oct-05,-0.363,,,
Nov-05,-0.218,,,
Dec-05,-0.199,,,
Jan-06,-0.075,,,
Feb-06,-0.225,,,
Mar-06,-0.284,,,
Apr-06,-0.115,,,
May-06,-0.329,,,
Jun-06,-0.287,,,
Jul-06,-0.315,,,
Aug-06,-0.319,,,
Sep-06,-0.385,,,
Oct-06,-0.351,,,
Nov-06,-0.427,,,
Dec-06,-0.283,,,
Jan-07,-0.431,,,
Feb-07,-0.512,,,
Mar-07,-0.338,,,
Apr-07,-0.507,,,
May-07,-0.555,,,
Jun-07,-0.524,,,
Jul-07,-0.402,,,
Aug-07,-0.452,,,
Sep-07,-0.405,,,
Oct-07,-0.359,,,
Nov-07,-0.581,,,
Dec-07,-0.525,,,
Jan-08,-0.412,,,
Feb-08,-0.413,,,
Mar-08,-0.636,,,
Apr-08,-0.55,,,
May-08,-0.474,,,
Jun-08,-0.472,,,
Jul-08,-0.469,,,
Aug-08,-0.532,,,
Sep-08,-0.454,,,
Oct-08,-0.579,,,
Nov-08,-0.596,,,
Dec-08,-0.568,,,
Jan-09,-0.579,,,
Feb-09,-0.531,,,
Mar-09,-0.69,,,
Apr-09,-0.604,,,
May-09,-0.586,,,
Jun-09,-0.512,,,
Jul-09,-0.573,,,
Aug-09,-0.317,,,
Sep-09,-0.398,,,
Oct-09,-0.481,,,
Nov-09,-0.42,,,
Dec-09,-0.591,,,
Jan-10,-0.352,,,
Feb-10,-0.514,,,
Mar-10,-0.487,,,
Apr-10,-0.45,,,
May-10,-0.466,,,
Jun-10,-0.482,,,
Jul-10,-0.466,,,
Aug-10,-0.436,,,
Sep-10,-0.441,,,
Oct-10,-0.482,,,
Nov-10,-0.652,,,
Dec-10,-0.666,,,
Jan-11,-0.554,,,
Feb-11,-0.753,,,
Mar-11,-0.701,,,
Apr-11,-0.717,,,
May-11,-0.6,,,
Jun-11,-0.567,,,
